Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;MWh;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
05.01.15;00:00;00:00;674.258,25;269.184,75;62.518,50;2.833.298,25;132.232,50;22.171;1.858.456,25;2.397.488,25;1.126.027,75;252.197,25;184.310;1.271.084
12.01.15;00:00;00:00;681.273,50;278.063,50;69.017,25;2.573.815;172.052;21.491,50;1.866.435,25;2.716.830,50;1.348.851,50;245.890,75;191.200,75;732.430,75
19.01.15;00:00;00:00;680.983,50;272.720;30.118,75;438.210,25;97.128;23.099;1.908.721;3.134.065;1.993.436,75;498.103,75;211.981,75;1.564.101,50
26.01.15;00:00;00:00;682.815,25;245.358,75;59.826;1.623.529;130.885,50;22.892,50;1.872.986;2.817.390,75;1.870.742;344.270;193.464;1.457.899,50
02.02.15;00:00;00:00;682.961,25;227.826,25;55.713;1.255.805,50;254.386,25;22.850;1.874.212,25;2.809.255,25;1.940.197;506.887,25;189.596,75;1.505.073,25
09.02.15;00:00;00:00;678.681;211.060,75;65.462,75;935.814,25;300.430,50;22.713;1.900.264,25;2.858.149,50;2.083.025,75;427.115,50;185.491,50;1.496.358,50
16.02.15;00:00;00:00;668.638,25;208.700,50;81.507,75;1.323.239,50;385.706,25;20.088,75;1.861.752;2.692.688,25;2.017.689,25;362.473,50;189.178,25;1.425.267,50
23.02.15;00:00;00:00;668.865,25;215.901;93.699,50;1.671.686,50;442.489,50;16.714,75;1.834.265,50;2.839.987,75;1.703.498,75;316.932,25;198.025,75;1.389.204,25
02.03.15;00:00;00:00;669.914,75;239.995;119.150,25;1.983.999,75;620.975,25;17.588,50;1.803.758,25;2.904.910,50;1.486.819,25;283.523;202.157,25;1.195.165,25
09.03.15;00:00;00:00;661.761,75;220.848,75;88.556,50;865.828,50;625.070,25;14.321;1.668.527,25;2.835.489,25;1.963.943,25;305.871,75;186.303,75;1.389.473,50
16.03.15;00:00;00:00;664.829,25;224.449,50;71.062,50;951.816,75;820.167,75;16.624,50;1.627.021,25;2.843.533,50;1.759.954,75;315.841,50;221.179;1.290.577,25
23.03.15;00:00;00:00;662.265,75;229.404;84.237,75;1.172.565;595.856,25;16.721,50;1.509.356,50;2.657.308,50;1.833.437;339.553,75;214.262,25;1.159.713,75
30.03.15;00:00;00:00;670.887,75;294.999,75;113.830;2.376.099,75;728.685,50;22.175,75;1.588.590,25;2.290.702;773.310,25;261.173;188.932,50;925.058,50
06.04.15;00:00;00:00;670.381,25;271.516,25;65.143,50;924.533,75;1.025.352,75;24.083;1.551.528,50;2.467.738,75;1.392.663,75;218.352,25;173.013,50;1.128.658
13.04.15;00:00;00:00;661.982;297.125,25;111.871,75;1.195.978,50;1.127.336,75;19.058,75;1.612.232,75;2.369.342,25;1.369.095,25;193.097;203.061,25;1.012.499,75
20.04.15;00:00;00:00;661.477,50;278.665,75;80.329,50;700.819,50;1.171.343,50;21.691,75;1.628.312;2.328.359;1.526.482,75;151.698,75;194.503,50;1.099.436
27.04.15;00:00;00:00;667.536;316.900,25;90.049,25;793.740,50;877.957,75;21.960,50;1.589.458,75;2.146.989;1.393.235,75;177.545,50;195.375,25;971.332,25
04.05.15;00:00;00:00;659.403,75;341.928,25;174.292,50;1.566.357,75;1.025.081;19.047,25;1.582.605,25;2.107.666,25;945.841,75;176.695;203.465,75;818.795
11.05.15;00:00;00:00;659.281,25;351.958;132.687,75;1.093.919,75;1.106.705,25;17.600;1.600.175,50;2.047.739,50;680.891,50;200.256,75;199.398;812.800
18.05.15;00:00;00:00;667.326,75;352.799,25;77.539,25;623.172;993.065;17.532,50;1.586.224,25;1.972.409,25;1.272.489,50;210.279,75;201.884;1.013.573,75
25.05.15;00:00;00:00;672.372;346.273;147.356,25;1.130.152,25;951.270;17.499;1.506.702,25;1.969.059,75;1.149.876,25;204.564,50;213.203;912.329
01.06.15;00:00;00:00;646.437;341.364,25;143.657,25;1.325.733,75;1.266.447,50;15.758,25;1.512.389,75;2.178.662,50;760.981,50;195.164,25;220.741;836.611,75
08.06.15;00:00;00:00;640.159,50;341.470;88.098,25;637.418,50;1.041.933,75;18.396,25;1.497.759,75;2.273.396;1.403.511,50;194.292,50;199.731,50;1.111.758,25
15.06.15;00:00;00:00;640.433;368.075,25;159.358,75;828.997,25;871.460,25;19.499;1.408.322,50;2.255.897,25;1.405.507;174.473,25;195.853,75;988.606,75
22.06.15;00:00;00:00;639.558,50;358.154,50;82.666,75;736.738;982.844,75;19.721;1.441.022,75;2.387.962,75;1.584.853,50;167.861,50;191.527,75;1.075.462,75
29.06.15;00:00;00:00;635.577;356.539;92.672,75;621.404,75;1.381.248;16.690;1.288.860,50;2.369.356,75;1.755.502,25;224.958,25;248.499;1.106.055,75
06.07.15;00:00;00:00;636.154,75;332.496,50;176.806;1.349.211,50;1.175.823;15.872,25;1.075.109,50;2.397.572,75;1.323.917,25;217.478,75;185.084,25;924.642,25
13.07.15;00:00;00:00;641.329,75;311.087,25;101.404,25;695.555,50;956.254,75;16.112;1.089.844,75;2.556.783,25;1.728.013,50;221.122;203.146,50;1.134.778,25
20.07.15;00:00;00:00;629.588,50;302.448,25;153.661;1.140.263,75;1.098.871,50;16.662,25;1.116.674,25;2.504.630,25;1.406.793,50;358.226,75;175.692,75;1.046.079,75
27.07.15;00:00;00:00;624.571;276.009;199.646;1.529.018,50;1.036.975;15.892,75;1.275.070;2.591.357,75;749.008,50;242.364,25;161.375;650.492
03.08.15;00:00;00:00;619.820;281.653;78.805;647.859;1.233.964,50;14.832,25;1.359.844,50;2.638.781,75;1.389.896,50;188.404,75;186.087,25;737.413,50
10.08.15;00:00;00:00;621.690,25;276.782,25;107.752,25;687.742,25;977.931,75;14.996,50;1.625.460;2.522.897;1.701.524,25;201.591;170.260,75;732.269,50
17.08.15;00:00;00:00;635.370,75;283.767,50;140.088,50;641.819,50;903.339,75;14.202,50;1.741.652,50;2.717.992,75;1.421.727,75;167.774,25;164.338,75;788.487
24.08.15;00:00;00:00;638.523,75;256.948,25;219.569,75;1.135.311,50;989.085,75;14.664,25;1.729.387,75;2.732.579,25;1.447.878,25;189.513,75;189.606,50;746.671,50
31.08.15;00:00;00:00;639.526;275.748,25;291.155,50;1.482.360,50;789.398,25;14.036,75;1.707.666,75;2.442.280;1.704.337,25;194.898,75;193.293,25;860.688
07.09.15;00:00;00:00;651.559,75;245.966,50;132.275,75;772.151;857.141,25;14.726,50;1.752.911,25;2.961.117,50;1.827.773,25;171.082,75;157.393;748.678,25
14.09.15;00:00;00:00;651.918;251.384,75;232.950,25;1.550.531,25;620.422,25;13.864,75;1.735.940,25;2.904.451;1.432.579,25;198.045,25;157.004,50;1.416.948,50
21.09.15;00:00;00:00;651.999;243.499;121.358,50;659.961;693.724,75;15.873,25;1.675.347,25;3.005.478;2.107.666,50;247.798,50;175.665,75;739.395
28.09.15;00:00;00:00;652.615,50;219.963,50;29.339,50;675.684;969.224,25;15.749,25;1.560.740,75;2.990.173,75;2.166.439;199.829;201.055,25;948.325,50
05.10.15;00:00;00:00;661.184,50;238.922,75;229.055;998.695,75;484.109,75;14.493,75;1.363.126,75;2.960.299;2.042.630,25;339.977,75;178.388,50;788.209,50
12.10.15;00:00;00:00;666.781,75;231.223,50;290.308,50;526.612,75;276.830;15.622,25;1.344.729;2.830.416,50;2.449.787,50;497.366,75;199.810,75;1.039.630,50
19.10.15;00:00;00:00;678.301,50;227.335,75;201.172;660.520;319.057,50;15.537,50;1.574.194;2.900.315,25;2.238.355,75;401.938,25;191.948,75;1.227.759,25
26.10.15;00:00;00:00;673.252,50;205.533;148.272,50;706.768,75;416.775;16.094;1.798.131,50;2.878.440,25;2.017.910;459.080,25;183.582;931.703,25
02.11.15;00:00;00:00;671.845;181.671,50;184.349;941.203;425.681;17.200,50;1.762.267;2.769.521,75;2.006.866,25;436.693,25;170.712,50;975.196,50
09.11.15;00:00;00:00;668.419,50;172.703;404.426,50;3.007.517;258.359;12.527,50;1.712.865,50;2.276.714,25;1.385.551;348.664,50;182.579;841.684
16.11.15;00:00;00:00;673.667,50;192.394;343.760,75;2.731.943,50;196.720,75;14.549,25;1.746.520,75;2.658.744,25;1.386.281,75;415.156,50;194.589,50;829.154,50
23.11.15;00:00;00:00;676.569,75;209.646,25;314.344,50;1.943.214,50;156.702,25;19.676,75;1.749.325,75;2.657.228;1.984.359,75;599.601,25;197.156;1.026.164,25
30.11.15;00:00;00:00;749.262,50;235.970;358.436,75;2.964.546;163.984,75;17.839,50;1.733.108,75;2.299.126;1.617.529,25;431.054,50;177.136,75;853.302,75
07.12.15;00:00;00:00;780.607,75;203.042,25;232.506,25;2.006.270;210.738,25;20.145,50;1.770.293;2.705.558,50;1.957.861,25;460.652,75;175.263;849.777
14.12.15;00:00;00:00;775.916,50;197.408,25;329.040,75;1.464.263,25;146.375;26.997;1.762.705,50;2.790.786,50;1.830.410,25;540.252,75;189.359,50;906.829
21.12.15;00:00;00:00;776.803,25;179.432,50;418.089,25;3.283.382;219.947,25;22.626;1.648.847,75;1.961.996,75;422.861,75;257.537,75;176.258,75;624.348
28.12.15;00:00;00:00;775.286,50;172.690,75;357.510;1.713.184;163.297,25;27.999;1.758.574;2.289.700,50;870.670,75;329.229;161.785;595.512,75
04.01.16;00:00;00:00;769.328;212.753,25;392.546,25;1.644.864,25;133.618,25;30.191,25;1.768.812,50;2.596.689,25;1.860.220,50;473.400,50;165.386,25;884.034,25
11.01.16;00:00;00:00;774.915,50;238.368,75;177.036,50;1.319.091;108.217,75;31.396,50;1.796.865,25;2.990.618;2.319.968,75;515.748,25;169.822,75;990.859
18.01.16;00:00;00:00;773.447;219.170,50;238.463,50;927.380;137.017,50;31.733,75;1.795.500;2.918.455,25;2.432.090,25;922.435,75;206.675;1.043.408,50
25.01.16;00:00;00:00;770.023,25;227.828,75;429.655,75;3.343.679,25;233.976;28.527,25;1.698.653,75;2.280.742;1.178.921;401.343;167.388,25;796.862,75
01.02.16;00:00;00:00;787.249;283.662,75;373.757,50;3.004.070,25;207.178,75;26.755;1.749.410,25;2.339.044;1.149.364,75;346.309,50;189.516,50;822.432,75
08.02.16;00:00;00:00;790.279,25;269.341,75;270.911,75;2.382.086,50;270.629;27.776,75;1.750.664;2.629.692,25;1.408.856,25;405.935,50;171.264,75;835.831,75
15.02.16;00:00;00:00;786.016;271.533,75;280.815,50;1.653.068;254.223,75;28.336,25;1.747.566,25;2.712.647,75;1.843.555,25;469.711,50;166.695,50;916.434,50
22.02.16;00:00;00:00;788.144,50;269.164,75;225.005,25;1.456.186,25;481.698;30.290,75;1.717.628;2.534.705,75;1.834.668;408.942,50;160.553,75;868.620,75
29.02.16;00:00;00:00;789.106,75;331.876,50;168.326,75;1.284.300,75;341.970;32.624,75;1.768.296,75;2.558.353,50;1.953.916,50;347.943,50;159.248;956.203
07.03.16;00:00;00:00;790.985,75;321.842;99.968,50;709.215;556.353,25;33.229,25;1.770.847,25;2.475.108,25;2.031.028,25;391.021,25;149.789,25;986.232,75
14.03.16;00:00;00:00;788.752,50;295.584;168.266,75;975.850,25;683.674,75;32.697,75;1.755.142,50;2.667.150,25;1.847.325,75;344.136,75;143.397,25;945.202,50
21.03.16;00:00;00:00;786.200,50;276.837,25;249.263,25;1.278.777,75;516.151,75;31.331,50;1.693.571;2.455.380;1.575.011;311.387,75;151.212,25;1.389.629,50
28.03.16;00:00;00:00;790.695,75;318.117,50;225.611;1.512.195,75;730.938,75;28.925;1.615.706,25;2.241.925;1.248.273,25;271.608,75;151.299,50;1.022.583,25
04.04.16;00:00;00:00;778.597,75;363.318,50;235.844,75;1.134.885;773.714,75;27.111;1.322.832,75;2.483.494,25;1.685.507,25;260.178,25;144.516;730.162
11.04.16;00:00;00:00;783.547;364.525;186.078,50;999.486,50;774.388,50;28.147;1.105.009;2.592.764,50;1.578.978,50;307.063,75;155.966;786.788,75
18.04.16;00:00;00:00;772.493;415.709,75;234.254,50;1.252.608,50;1.045.267,50;28.530,50;1.094.963;2.515.641,25;1.297.257;229.449,50;148.876,25;716.526,50
25.04.16;00:00;00:00;768.897,25;378.911,50;181.436,50;1.559.491,25;934.577,50;27.984;1.092.003,25;2.488.121,75;1.667.151,25;257.705,50;157.388;834.893,25
02.05.16;00:00;00:00;766.635,25;363.070,75;223.814,75;1.256.950,50;1.374.574;25.970,75;1.051.334;2.181.378,25;1.077.173;220.755,50;156.857,75;656.783,50
09.05.16;00:00;00:00;757.557,25;425.256,50;348.893,75;1.919.194,50;1.074.496,25;24.889,75;1.079.410;2.125.545,25;1.034.380;232.627,50;180.330,25;651.426,25
16.05.16;00:00;00:00;758.114,75;435.347,25;151.873,50;998.283;1.016.997;25.469,75;1.206.025;2.347.936,25;1.146.079,25;287.080,50;154.090,75;741.678,25
23.05.16;00:00;00:00;749.884;470.353;116.420,25;568.368;840.230,25;24.815,50;1.077.532;2.417.653;1.493.411,25;327.554,50;130.173;816.588
30.05.16;00:00;00:00;735.141,50;450.284;223.318,75;635.268,75;950.358;24.261,50;1.196.536;2.265.489,75;1.492.578,75;284.452,25;162.334;750.620,75
06.06.16;00:00;00:00;733.072,75;449.932,25;120.660;529.682,25;1.223.665;22.234,75;1.414.622,75;2.256.866,25;1.500.603,50;217.219,25;128.768,25;691.645,25
13.06.16;00:00;00:00;739.391;435.861,50;94.617,25;565.875,25;953.116,50;21.948,75;1.387.931;2.348.613,25;1.624.769,75;290.115,50;174.577,50;736.065,50
20.06.16;00:00;00:00;727.259,75;443.839;124.802;799.052,25;1.225.440,50;21.502,25;1.449.789,75;2.064.816,75;1.573.461,75;254.433,50;196.912,25;801.265,50
27.06.16;00:00;00:00;734.964;463.518,75;235.653;1.114.281;1.085.163,50;19.839,75;1.439.276,50;2.191.055,50;1.276.207,50;243.330,50;166.273;742.256,50
04.07.16;00:00;00:00;729.813,25;470.381,75;261.532,25;1.303.068,25;1.314.154,75;17.965;1.478.224,50;2.290.831,25;998.843,75;236.603,50;186.424,25;669.904
11.07.16;00:00;00:00;720.177,50;440.783,25;247.908,75;1.173.453;953.997,50;18.071,50;1.424.798,25;2.571.224,25;1.048.356;247.936,25;152.955;686.652,25
18.07.16;00:00;00:00;718.313,75;479.804;83.878,50;422.501,50;1.231.435,50;18.303,25;1.319.495;2.473.509,25;1.651.295,25;293.361,25;160.395,25;846.235,25
25.07.16;00:00;00:00;717.751;489.631,50;63.262,50;453.506,50;1.009.357,75;18.735;1.300.187,75;2.404.655,75;1.849.184,25;293.524,50;136.582,75;832.203,50
01.08.16;00:00;00:00;735.400,25;469.970,50;246.260,25;1.017.612,25;936.636,25;21.598;1.346.868,25;2.283.199;1.285.140,25;283.850,75;139.265,50;710.172,50
08.08.16;00:00;00:00;743.778,75;493.937,75;315.294,25;1.180.386,50;962.050,25;21.456,25;1.529.075;2.272.950,50;860.341;237.044,50;161.460,25;607.766,75
15.08.16;00:00;00:00;732.693;463.649,25;107.780;548.840,25;1.110.125,75;21.347,50;1.704.814;2.395.654;1.251.072,25;376.740,75;160.838;682.093,50
22.08.16;00:00;00:00;723.233,50;422.610,75;140.863,25;837.448,75;1.234.188,50;21.453;1.708.444,75;2.500.351,50;1.302.894,25;583.626;166.342,25;732.916,25
29.08.16;00:00;00:00;730.842,25;401.131,25;154.149;797.673,25;1.001.795;20.644,50;1.621.728,50;2.470.479,75;1.478.424,75;523.328,50;171.915,75;871.717,50
05.09.16;00:00;00:00;724.926,50;389.250;86.627,50;508.335,75;1.073.361;20.523,75;1.513.210,25;2.550.499,50;1.569.918;599.072,50;167.208,50;917.214,75
12.09.16;00:00;00:00;724.474,75;362.077,25;192.031,75;1.022.903,75;856.623,25;22.318,75;1.520.646;2.507.180,25;1.490.913,25;583.026;151.923;859.834
19.09.16;00:00;00:00;738.797,25;379.706;100.148,25;386.348,50;841.957;25.740,50;1.665.344,25;2.766.169,75;1.724.617,50;606.953,25;132.387,25;837.686,50
26.09.16;00:00;00:00;738.664,75;315.609,50;272.702,50;1.389.091,75;686.698;24.287,25;1.752.633,50;2.472.555;1.317.126,50;509.516;165.367,75;1.098.752,75
03.10.16;00:00;00:00;750.696;290.952,25;330.662;1.316.205,25;450.527,75;27.249,50;1.768.095;2.630.133;1.352.127,25;584.945,25;143.122;976.817
10.10.16;00:00;00:00;752.268,25;250.561;385.996,25;1.122.768;437.161;27.395,25;1.768.422,50;2.691.027,25;1.595.375,75;584.279,75;170.341,75;1.099.850
17.10.16;00:00;00:00;755.238,50;252.678;273.723,75;656.878,25;297.584;28.185,50;1.775.857,75;2.692.703,75;1.926.224,25;705.816,25;169.201,50;1.254.117,75
24.10.16;00:00;00:00;763.889,25;275.896,25;278.833;938.724;297.268,25;29.019,50;1.761.320,75;2.693.676;1.661.196;620.590,50;169.476,75;1.303.520,75
31.10.16;00:00;00:00;766.685,25;242.516,25;276.960,50;1.207.743,75;298.435,25;32.366,75;1.768.567,75;2.924.990,25;1.636.418,25;455.331,25;156.330,75;1.069.584
07.11.16;00:00;00:00;767.397,75;291.324,75;215.155,75;695.656,75;207.812;33.169,75;1.766.649,75;2.913.504,50;2.085.936;792.877,50;177.634,75;1.276.477,50
14.11.16;00:00;00:00;759.023,25;278.316,75;445.095,25;2.774.307,50;206.442,25;31.972,75;1.690.845,25;2.347.493;1.238.034;517.480,25;162.235,75;1.037.434
21.11.16;00:00;00:00;769.307;287.185,25;240.754,25;1.275.803;194.098;32.786;1.717.021,25;2.686.581,25;1.901.479,75;659.438;175.238,25;1.221.994,75
28.11.16;00:00;00:00;784.467,75;268.561;285.210,50;1.768.592,25;330.774;34.057;1.708.051,50;2.557.901,25;1.896.485;635.615,75;185.192,75;1.124.884,25
05.12.16;00:00;00:00;797.938;263.069,50;306.836,25;1.997.628,50;205.212,25;32.471,25;1.674.748;2.643.297,50;1.765.235,75;694.446,75;190.974,50;1.163.951,75
12.12.16;00:00;00:00;801.078,75;270.672,50;154.049,25;722.521,75;124.624,25;33.458;1.505.655,50;2.887.487,75;2.272.703,75;911.116,25;218.007,50;1.284.098
19.12.16;00:00;00:00;797.717,75;255.237,25;374.668,25;2.172.452,50;123.099,50;32.922,50;1.273.840;2.305.270,75;1.532.518,75;730.385,50;201.499,75;1.088.329,25
26.12.16;00:00;00:00;795.337,75;225.686,50;378.603,50;2.229.841,25;219.687,25;31.305,50;1.034.381;2.104.846,25;937.296,75;511.430,50;171.488;858.498
02.01.17;00:00;00:00;796.736,75;191.479;343.176,75;1.952.035,25;102.160;31.766,75;1.147.196,25;2.526.111,75;1.937.060,75;696.826,75;194.649,75;1.213.092,25
09.01.17;00:00;00:00;792.907,75;197.321;384.967,75;2.509.603,75;92.539,75;32.179,75;1.273.148,25;2.673.138;1.577.146;715.821,50;184.063;1.196.620,50
16.01.17;00:00;00:00;799.356,50;196.408,75;96.540,75;573.221;233.904,50;33.602,25;1.305.072,25;2.796.985,75;2.715.262;1.037.672,75;232.845,50;1.507.713,50
23.01.17;00:00;00:00;804.870,25;190.316,50;250.775;883.395,25;303.890,25;31.898,75;1.413.480;2.627.749,25;2.425.026,50;943.979,75;233.768;1.396.282,75
30.01.17;00:00;00:00;822.692,25;235.419,50;335.220,50;1.125.896,50;216.361,75;39.308,75;1.367.599,75;2.594.615,50;2.394.129,25;747.327;186.278,75;1.424.740,75
06.02.17;00:00;00:00;831.074,50;219.819;553.415,25;1.231.609;262.079;43.052;1.116.383;2.710.514;2.269.137,75;816.312,50;187.540,75;1.350.190,50
13.02.17;00:00;00:00;833.062,25;191.412,50;386.986,50;1.303.358,25;530.583;42.974;1.098.462,75;2.863.166,75;2.086.734,75;677.483;184.065,25;1.287.752,75
20.02.17;00:00;00:00;820.238,50;236.173,75;569.809,50;3.677.969,75;371.080;41.946,25;1.074.183,25;2.343.739,75;828.127;434.041,75;176.634,75;950.537
27.02.17;00:00;00:00;811.757,25;244.619;419.312;2.807.062,50;539.491,25;38.906,50;1.140.180;2.499.849,50;859.073,75;439.670;201.205,25;968.113,75
06.03.17;00:00;00:00;807.472,25;277.883,50;339.656;1.476.749,50;564.454,25;39.255,25;1.091.983,75;2.629.963;1.581.252,50;618.548;185.733,50;1.165.075,25
13.03.17;00:00;00:00;810.401;277.929;444.853,50;2.199.001,75;681.593,50;38.717,75;1.092.843;2.504.245;1.188.702;440.006,75;184.379;999.365,25
20.03.17;00:00;00:00;802.727,75;302.105,75;261.971,50;1.536.544,75;776.291,50;37.845;1.078.704;2.612.040,50;1.426.609,25;481.675,75;206.409,75;979.096
27.03.17;00:00;00:00;796.012;275.513,25;210.065;991.890,50;1.083.750;34.748,25;1.067.687;2.784.582,75;1.303.144,75;431.837,50;181.441;901.386,50
03.04.17;00:00;00:00;793.126,75;271.218,75;236.471,50;1.140.658,50;909.508,25;34.403,25;975.717,50;2.720.704,25;1.383.709,75;472.880,75;195.645;821.201,75
10.04.17;00:00;00:00;796.572,25;241.412,75;513.291,75;2.487.500,75;806.220,25;34.834,50;1.010.210,25;2.383.462;679.919,25;332.074;185.805;680.854
17.04.17;00:00;00:00;805.049,75;263.857,50;384.470,25;1.778.968,75;870.262,25;40.295,50;1.197.169,50;2.473.763,50;962.049,75;403.290;181.087;780.145,25
24.04.17;00:00;00:00;801.650,75;303.965,75;230.185;1.114.430,50;991.382,50;39.468;1.277.373,25;2.565.768,75;1.268.822,25;482.966,25;196.672,50;888.121,25
01.05.17;00:00;00:00;793.770,50;313.353,25;438.100;1.444.861;779.080,75;36.186;1.287.654,75;2.516.705;1.055.232,50;415.796,50;153.516;746.173,25
08.05.17;00:00;00:00;777.086,75;342.011;258.208,25;749.819,75;1.071.501,25;36.772,25;1.252.767,75;2.433.375;1.475.250;433.106;179.200,75;846.661,75
15.05.17;00:00;00:00;768.309,25;358.011,75;221.504,50;789.852;1.264.787,75;31.477,25;1.269.765,25;2.500.496;1.277.090,75;390.811;172.480,50;832.180,25
22.05.17;00:00;00:00;771.819,25;342.554,25;194.046,25;981.570,75;1.432.583,75;31.426;1.295.602,75;2.372.333,25;940.179,50;281.810,75;194.358,25;726.839
29.05.17;00:00;00:00;752.394;368.781,50;144.686,50;889.950,50;1.292.684;29.218;1.383.611,75;2.357.382;1.266.346,25;474.696,50;187.713,50;721.653
05.06.17;00:00;00:00;751.206,75;366.875,75;413.902,75;1.619.223,75;1.246.725,25;27.749;1.496.943,75;2.245.028,75;478.706;271.340,50;205.806,50;692.331,50
12.06.17;00:00;00:00;751.720,50;347.018,75;308.679,50;1.518.294,75;1.333.798,50;27.580;1.491.308,50;2.355.891,50;732.300;335.359,50;199.104;690.491,50
19.06.17;00:00;00:00;745.298;325.422;291.705,50;1.339.536,75;1.325.076,75;27.206,75;1.456.892,75;2.405.758;1.187.206,75;441.742,50;189.905,75;728.720
26.06.17;00:00;00:00;747.369,50;346.456;291.086,25;1.492.316,50;957.285,50;27.231,50;1.487.087,75;2.459.424,75;936.206,50;452.620,50;176.245,75;768.245,50
03.07.17;00:00;00:00;741.260,75;332.565,75;123.702,25;719.021,75;1.345.220;26.271,75;1.371.447;2.430.380,50;1.275.080,50;544.349,75;158.286;915.685,50
10.07.17;00:00;00:00;741.454,50;341.858;200.338,25;916.154,25;1.027.350;27.201,50;1.080.997,75;2.413.344,25;1.026.659;571.870,75;153.205,50;1.010.242
17.07.17;00:00;00:00;740.061;328.085;226.780,50;828.482,50;1.246.896;26.164,75;1.066.331,75;2.282.544,75;1.113.863;551.597,75;130.540,25;902.476,25
24.07.17;00:00;00:00;741.894,75;358.047;245.245,25;1.465.626;867.218,50;26.919,75;1.187.435;2.260.182,50;880.536;388.028,75;155.746,50;831.265
31.07.17;00:00;00:00;735.521;360.227,25;333.923;1.256.901,25;1.087.647,25;28.786,25;1.494.257,25;2.392.862,25;645.362,75;320.380,25;168.512;700.896,75
07.08.17;00:00;00:00;742.471;355.160,25;220.739,50;978.913,50;864.309;30.175,75;1.494.920;2.523.807;707.783,25;335.248,25;152.399,25;755.401
14.08.17;00:00;00:00;745.816,25;366.760,50;335.453;1.114.530,25;1.089.972;29.713,25;1.654.425;2.432.911;675.354,25;258.973;165.758,25;656.927,50
21.08.17;00:00;00:00;749.650,50;336.506,25;183.419;672.562,75;1.149.029,50;29.809,25;1.698.795;2.642.501,50;1.176.773,25;213.494,25;157.593,25;695.647,75
28.08.17;00:00;00:00;736.600,25;327.078,50;94.677;545.853,25;924.922;30.236;1.615.513;2.657.838,75;1.472.291,25;289.933,25;149.075,50;784.647,25
04.09.17;00:00;00:00;736.709;365.279,75;302.869,50;1.697.077;755.145;31.274,25;1.460.871,25;2.332.134,25;998.753;260.223,75;176.326,75;785.273
11.09.17;00:00;00:00;659.794,75;359.597,25;359.244,50;2.545.452,50;687.112,50;30.262;1.465.606,25;2.234.234,75;836.341,25;229.458,75;182.206,50;831.412,25
18.09.17;00:00;00:00;640.414;350.333;97.620;318.201,75;729.896,75;27.741,50;1.494.765,50;2.633.372;1.896.725,25;503.095,25;167.004,25;1.059.888,25
25.09.17;00:00;00:00;743.458,25;312.639,25;298.319,25;793.069,25;664.540,50;29.813,25;1.559.737,25;2.512.186,50;1.564.577,75;571.668,50;193.142,25;951.606
02.10.17;00:00;00:00;737.200,25;334.604,50;670.650;3.322.766,50;460.889,50;31.520;1.654.215,25;2.001.494,50;358.191;307.846,50;185.579,50;708.560
09.10.17;00:00;00:00;743.094;304.388,50;462.550,75;1.996.837,75;572.741,75;33.146,75;1.698.012;2.419.995,75;1.206.280,50;392.411,75;204.859;846.328,75
16.10.17;00:00;00:00;740.837,75;257.888;384.646,75;1.436.323;572.408,50;31.169;1.694.225;2.626.728,25;1.461.984;547.869;188.624;904.799
23.10.17;00:00;00:00;748.898,25;270.136,25;493.792;2.890.857,75;310.434,25;32.938;1.586.061,75;2.284.533,50;1.027.283;479.773,25;171.761;817.180
30.10.17;00:00;00:00;770.672,75;276.076,25;423.695,50;1.708.921,75;348.576;36.455,25;1.697.153;2.442.414;1.024.015,75;477.631,50;149.906,50;997.603,50
06.11.17;00:00;00:00;780.067,50;312.777;374.739,50;1.559.594,75;147.885,25;37.302,75;1.480.233,25;2.712.144,75;1.514.554,50;713.182,50;198.205;1.157.471,50
13.11.17;00:00;00:00;805.338,75;330.208,50;409.626,75;1.891.574,25;200.166,25;37.327,25;1.550.838,50;2.493.843;1.595.176,75;643.664;184.695,50;1.109.301,75
20.11.17;00:00;00:00;804.883,25;296.632,75;396.234,50;2.773.917,50;180.928,50;37.409,25;1.690.434,25;2.589.866;1.339.894;517.446,50;191.129,25;987.229,25
27.11.17;00:00;00:00;807.993,25;297.590;343.670,25;1.650.188,75;128.244,50;39.005,75;1.708.575;2.809.475;1.702.702,50;739.087;184.866;1.172.001,50
04.12.17;00:00;00:00;808.815,75;265.161,75;588.362;3.844.374,50;115.468,75;39.094,25;1.657.282,75;2.450.947,75;935.973,50;520.958,25;122.829,50;902.618,75
11.12.17;00:00;00:00;809.905;310.222,50;411.808,50;2.696.291,75;126.997,50;38.825,25;1.691.586,75;2.584.805,25;1.307.936,50;552.869,50;138.550,25;1.051.762,50
18.12.17;00:00;00:00;809.412,75;308.672,75;293.608;2.052.157,25;69.264,25;36.539,25;1.603.383,75;2.259.469,25;1.536.848,25;656.913;151.644;1.071.294,75
